Task Name,Query,Start Time,End Time,Duration (seconds)
Disease gene location,Q1,7/1/2025 2:47:53,7/1/2025 2:49:24,90.615
Disease gene location,Q2,7/1/2025 2:49:24,7/1/2025 2:50:16,52.095
Disease gene location,Q3,7/1/2025 2:50:16,7/1/2025 2:51:01,45.323
Disease gene location,Q4,7/1/2025 2:51:01,7/1/2025 2:51:47,46.165
Disease gene location,Q5,7/1/2025 2:51:47,7/1/2025 2:53:23,95.453
Disease gene location,Q6,7/1/2025 2:53:23,7/1/2025 2:54:42,79.616
Disease gene location,Q7,7/1/2025 2:54:42,7/1/2025 2:56:48,125.415
Disease gene location,Q8,7/1/2025 2:56:48,7/1/2025 2:57:40,52.559
Disease gene location,Q9,7/1/2025 2:57:40,7/1/2025 2:58:26,45.26
Disease gene location,Q10,7/1/2025 2:58:26,7/1/2025 2:59:53,87.145
Disease gene location,Q11,7/1/2025 2:59:53,7/1/2025 3:00:42,49.376
Disease gene location,Q12,7/1/2025 3:00:42,7/1/2025 3:02:06,83.883
Disease gene location,Q13,7/1/2025 3:02:06,7/1/2025 3:02:49,43.296
Disease gene location,Q14,7/1/2025 3:02:49,7/1/2025 3:03:38,48.655
Disease gene location,Q15,7/1/2025 3:03:38,7/1/2025 3:04:21,43.316
Disease gene location,Q16,7/1/2025 3:04:21,7/1/2025 3:05:45,83.623
Disease gene location,Q17,7/1/2025 3:05:45,7/1/2025 3:08:27,162.08
Disease gene location,Q18,7/1/2025 3:08:27,7/1/2025 3:09:40,73.175
Disease gene location,Q19,7/1/2025 3:09:40,7/1/2025 3:10:59,78.683
Disease gene location,Q20,7/1/2025 3:10:59,7/1/2025 3:12:59,120.367
Disease gene location,Q21,7/1/2025 3:12:59,7/1/2025 3:14:37,97.801
Disease gene location,Q22,7/1/2025 3:14:37,7/1/2025 3:15:25,47.643
Disease gene location,Q23,7/1/2025 3:15:25,7/1/2025 3:16:11,46.45
Disease gene location,Q24,7/1/2025 3:16:11,7/1/2025 3:16:55,43.842
Disease gene location,Q25,7/1/2025 3:16:55,7/1/2025 3:18:25,90.501
Disease gene location,Q26,7/1/2025 3:18:25,7/1/2025 3:19:46,81.141
Disease gene location,Q27,7/1/2025 3:19:46,7/1/2025 3:20:38,51.421
Disease gene location,Q28,7/1/2025 3:20:38,7/1/2025 3:22:18,99.97
Disease gene location,Q29,7/1/2025 3:22:18,7/1/2025 3:23:07,48.672
Disease gene location,Q30,7/1/2025 3:23:07,7/1/2025 3:24:34,87.852
Disease gene location,Q31,7/1/2025 3:24:34,7/1/2025 3:25:26,51.763
Disease gene location,Q32,7/1/2025 3:25:26,7/1/2025 3:26:49,83.121
Disease gene location,Q33,7/1/2025 3:26:49,7/1/2025 3:28:39,109.252
Disease gene location,Q34,7/1/2025 3:28:39,7/1/2025 3:29:55,76.552
Disease gene location,Q35,7/1/2025 3:29:55,7/1/2025 3:30:54,58.446
Disease gene location,Q36,7/1/2025 3:30:54,7/1/2025 3:31:42,48.263
Disease gene location,Q37,7/1/2025 3:31:42,7/1/2025 3:32:31,48.899
Disease gene location,Q38,7/1/2025 3:32:31,7/1/2025 3:33:20,48.954
Disease gene location,Q39,7/1/2025 3:33:20,7/1/2025 3:36:43,203.24
Disease gene location,Q40,7/1/2025 3:36:43,7/1/2025 3:37:43,59.904
Disease gene location,Q41,7/1/2025 3:37:43,7/1/2025 3:39:09,86.068
Disease gene location,Q42,7/1/2025 3:39:09,7/1/2025 3:39:57,48.004
Disease gene location,Q43,7/1/2025 3:39:57,7/1/2025 3:40:54,57.513
Disease gene location,Q44,7/1/2025 3:40:54,7/1/2025 3:53:02,727.204
Disease gene location,Q45,7/1/2025 3:53:02,7/1/2025 3:54:55,113.167
Disease gene location,Q46,7/1/2025 3:54:55,7/1/2025 3:55:50,55.534
