Task,Question,Start Time,End Time,Duration 
Gene alias,Q1,10/1/2025 1:23,10/1/2025 1:24,53.568
Gene alias,Q2,10/1/2025 1:24,10/1/2025 1:24,39.601
Gene alias,Q3,10/1/2025 1:24,10/1/2025 1:25,40.132
Gene alias,Q4,10/1/2025 1:25,10/1/2025 1:26,42.854
Gene alias,Q5,10/1/2025 1:26,10/1/2025 1:27,43.753
Gene alias,Q6,10/1/2025 1:27,10/1/2025 1:27,43.164
Gene alias,Q7,10/1/2025 1:27,10/1/2025 1:28,39.148
Gene alias,Q8,10/1/2025 1:28,10/1/2025 1:29,40.56
Gene alias,Q9,10/1/2025 1:29,10/1/2025 1:29,43.914
Gene alias,Q10,10/1/2025 1:29,10/1/2025 1:30,39.388
Gene alias,Q11,10/1/2025 1:30,10/1/2025 1:31,38.78
Gene alias,Q12,10/1/2025 1:31,10/1/2025 1:31,40.443
Gene alias,Q13,10/1/2025 1:31,10/1/2025 1:32,42.511
Gene alias,Q14,10/1/2025 1:32,10/1/2025 1:33,38.952
Gene alias,Q15,10/1/2025 1:33,10/1/2025 1:33,39.669
Gene alias,Q16,10/1/2025 1:33,10/1/2025 1:34,43.749
Gene alias,Q17,10/1/2025 1:34,10/1/2025 1:35,38.857
Gene alias,Q18,10/1/2025 1:35,10/1/2025 1:35,43.072
Gene alias,Q19,10/1/2025 1:35,10/1/2025 1:36,42.044
Gene alias,Q20,10/1/2025 1:36,10/1/2025 1:37,41.622
Gene alias,Q21,10/1/2025 1:37,10/1/2025 1:38,42.971
Gene alias,Q22,10/1/2025 1:38,10/1/2025 1:38,39.027
Gene alias,Q23,10/1/2025 1:38,10/1/2025 1:39,39.072
Gene alias,Q24,10/1/2025 1:39,10/1/2025 1:40,39.434
Gene alias,Q25,10/1/2025 1:40,10/1/2025 1:40,39.986
Gene alias,Q26,10/1/2025 1:40,10/1/2025 1:41,40.666
Gene alias,Q27,10/1/2025 1:41,10/1/2025 1:42,43.448
Gene alias,Q28,10/1/2025 1:42,10/1/2025 1:42,39.739
Gene alias,Q29,10/1/2025 1:42,10/1/2025 1:43,40.197
Gene alias,Q30,10/1/2025 1:43,10/1/2025 1:44,43.082
Gene alias,Q31,10/1/2025 1:44,10/1/2025 1:44,39.349
Gene alias,Q32,10/1/2025 1:44,10/1/2025 1:45,43.142
Gene alias,Q33,10/1/2025 1:45,10/1/2025 1:46,38.694
Gene alias,Q34,10/1/2025 1:46,10/1/2025 1:46,39.083
Gene alias,Q35,10/1/2025 1:46,10/1/2025 1:47,42.575
Gene alias,Q36,10/1/2025 1:47,10/1/2025 1:48,40.391
Gene alias,Q37,10/1/2025 1:48,10/1/2025 1:48,44.413
Gene alias,Q38,10/1/2025 1:48,10/1/2025 1:49,38.973
Gene alias,Q39,10/1/2025 1:49,10/1/2025 1:50,44.752
Gene alias,Q40,10/1/2025 1:50,10/1/2025 1:51,42.185
Gene alias,Q41,10/1/2025 1:51,10/1/2025 1:51,39.126
Gene alias,Q42,10/1/2025 1:51,10/1/2025 1:52,42.549
Gene alias,Q43,10/1/2025 1:52,10/1/2025 1:53,38.853
Gene alias,Q44,10/1/2025 1:53,10/1/2025 1:53,41.989
Gene alias,Q45,10/1/2025 1:53,10/1/2025 1:54,43.108
Gene alias,Q46,10/1/2025 1:54,10/1/2025 1:55,39.498
Gene alias,Q47,10/1/2025 1:55,10/1/2025 1:55,42.797
Gene alias,Q48,10/1/2025 1:55,10/1/2025 1:56,44.248
Gene alias,Q49,10/1/2025 1:56,10/1/2025 1:57,40.409
Gene alias,Q50,10/1/2025 1:57,10/1/2025 1:57,42.573
Gene disease association,Q1,10/1/2025 1:57,10/1/2025 1:58,40.164
Gene disease association,Q2,10/1/2025 1:58,10/1/2025 1:59,45.291
Gene disease association,Q3,10/1/2025 1:59,10/1/2025 2:00,40.298
Gene disease association,Q4,10/1/2025 2:00,10/1/2025 2:00,40.225
Gene disease association,Q5,10/1/2025 2:00,10/1/2025 2:01,40.52
Gene disease association,Q6,10/1/2025 2:01,10/1/2025 2:02,39.95
Gene disease association,Q7,10/1/2025 2:02,10/1/2025 2:02,42.501
Gene disease association,Q8,10/1/2025 2:02,10/1/2025 2:03,42.217
Gene disease association,Q9,10/1/2025 2:03,10/1/2025 2:04,40.113
Gene disease association,Q10,10/1/2025 2:04,10/1/2025 2:04,41.878
Gene disease association,Q11,10/1/2025 2:04,10/1/2025 2:05,42.382
Gene disease association,Q12,10/1/2025 2:05,10/1/2025 2:06,40.935
Gene disease association,Q13,10/1/2025 2:06,10/1/2025 2:06,40.251
Gene disease association,Q14,10/1/2025 2:06,10/1/2025 2:07,42.488
Gene disease association,Q15,10/1/2025 2:07,10/1/2025 2:08,40.778
Gene disease association,Q16,10/1/2025 2:08,10/1/2025 2:08,39.978
Gene disease association,Q17,10/1/2025 2:08,10/1/2025 2:09,41.896
Gene disease association,Q18,10/1/2025 2:09,10/1/2025 2:10,47.858
Gene disease association,Q19,10/1/2025 2:10,10/1/2025 2:11,39.434
Gene disease association,Q20,10/1/2025 2:11,10/1/2025 2:11,42.368
Gene disease association,Q21,10/1/2025 2:11,10/1/2025 2:12,42.229
Gene disease association,Q22,10/1/2025 2:12,10/1/2025 2:13,46.135
Gene disease association,Q23,10/1/2025 2:13,10/1/2025 2:13,40.818
Gene disease association,Q24,10/1/2025 2:13,10/1/2025 2:14,40.094
Gene disease association,Q25,10/1/2025 2:14,10/1/2025 2:15,41.483
Gene disease association,Q26,10/1/2025 2:15,10/1/2025 2:16,41.915
Gene disease association,Q27,10/1/2025 2:16,10/1/2025 2:16,40.68
Gene disease association,Q28,10/1/2025 2:16,10/1/2025 2:17,42.154
Gene disease association,Q29,10/1/2025 2:17,10/1/2025 2:18,42.9
