Task	Question	qwen2.5:32b	multi-agent(32b+32b)
sequence gene alias	Q1	90.615	94.78
sequence gene alias	Q2	52.095	86.58
sequence gene alias	Q3	45.323	82.87
sequence gene alias	Q4	46.165	81.56
sequence gene alias	Q5	95.453	83.42
sequence gene alias	Q6	79.616	84.97
sequence gene alias	Q7	125.415	70.2
sequence gene alias	Q8	52.559	84.36
sequence gene alias	Q9	45.26	80.02
sequence gene alias	Q10	87.145	84.12
sequence gene alias	Q11	49.376	85.3
sequence gene alias	Q12	83.883	83.28
sequence gene alias	Q13	43.296	84.62
sequence gene alias	Q14	48.655	77.49
sequence gene alias	Q15	43.316	84.13
sequence gene alias	Q16	83.623	87.01
sequence gene alias	Q17	162.08	85.02
sequence gene alias	Q18	73.175	87.27
sequence gene alias	Q19	78.683	82.52
sequence gene alias	Q20	120.367	81.38
sequence gene alias	Q21	97.801	82
sequence gene alias	Q22	47.643	86.67
sequence gene alias	Q23	46.45	164.04
sequence gene alias	Q24	43.842	88.88
sequence gene alias	Q25	90.501	142.68
sequence gene alias	Q26	81.141	83.68
sequence gene alias	Q27	51.421	90.13
sequence gene alias	Q28	99.97	84.97
sequence gene alias	Q29	48.672	70.82
sequence gene alias	Q30	87.852	84.6
sequence gene alias	Q31	51.763	88.71
sequence gene alias	Q32	83.121	84.09
sequence gene alias	Q33	109.252	82.77
sequence gene alias	Q34	76.552	84.83
sequence gene alias	Q35	58.446	85.66
sequence gene alias	Q36	48.263	84.26
sequence gene alias	Q37	48.899	82.09
sequence gene alias	Q38	48.954	84.67
sequence gene alias	Q39	203.24	85.81
sequence gene alias	Q40	59.904	88.22
sequence gene alias	Q41	86.068	74.52
sequence gene alias	Q42	48.004	67.83
sequence gene alias	Q43	57.513	82.9
sequence gene alias	Q44	727.204	87.88
sequence gene alias	Q45	113.167	88.06
sequence gene alias	Q46	55.534	81.52
sequence gene alias	Q47	141.3	84.64
sequence gene alias	Q48	546.176	84.64
sequence gene alias	Q49	47.481	79.5
