Task	Question	qwen2.5:32b	multi-agent(32b+32b)
Gene alias	Q1	53.568	20.25
Gene alias	Q2	39.601	11.68
Gene alias	Q3	40.132	11.06
Gene alias	Q4	42.854	13.46
Gene alias	Q5	43.753	13.19
Gene alias	Q6	43.164	13.56
Gene alias	Q7	39.148	12.18
Gene alias	Q8	40.56	12.84
Gene alias	Q9	43.914	13.98
Gene alias	Q10	39.388	11.64
Gene alias	Q11	38.78	11.22
Gene alias	Q12	40.443	14.6
Gene alias	Q13	42.511	33.8
Gene alias	Q14	38.952	10.83
Gene alias	Q15	39.669	11.25
Gene alias	Q16	43.749	14.18
Gene alias	Q17	38.857	10.83
Gene alias	Q18	43.072	13.23
Gene alias	Q19	42.044	15.06
Gene alias	Q20	41.622	13.67
Gene alias	Q21	42.971	64.18
Gene alias	Q22	39.027	10.98
Gene alias	Q23	39.072	11.09
Gene alias	Q24	39.434	12.04
Gene alias	Q25	39.986	12.31
Gene alias	Q26	40.666	13.43
Gene alias	Q27	43.448	14.21
Gene alias	Q28	39.739	12.4
Gene alias	Q29	40.197	13.54
Gene alias	Q30	43.082	13.36
Gene alias	Q31	39.349	11.74
Gene alias	Q32	43.142	13.13
Gene alias	Q33	38.694	10.67
Gene alias	Q34	39.083	10.73
Gene alias	Q35	42.575	13.25
Gene alias	Q36	40.391	12.72
Gene alias	Q37	44.413	14.07
Gene alias	Q38	38.973	10.97
Gene alias	Q39	44.752	38.73
Gene alias	Q40	42.185	11.38
Gene alias	Q41	39.126	11.11
Gene alias	Q42	42.549	57.39
Gene alias	Q43	38.853	11.01
Gene alias	Q44	41.989	14.4
Gene alias	Q45	43.108	30.14
Gene alias	Q46	39.498	12.57
Gene alias	Q47	42.797	63.14
Gene alias	Q48	44.248	32.62
Gene alias	Q49	40.409	13.65
Gene alias	Q50	42.573	13.73
Gene disease association	Q1	40.164	30.7
Gene disease association	Q2	45.291	52.22
Gene disease association	Q3	40.298	15.87
Gene disease association	Q4	40.225	30.09
Gene disease association	Q5	40.52	31.68
Gene disease association	Q6	39.95	26.45
Gene disease association	Q7	42.501	112.95
Gene disease association	Q8	42.217	21.98
Gene disease association	Q9	40.113	27.56
Gene disease association	Q10	41.878	35.5
Gene disease association	Q11	42.382	22.32
Gene disease association	Q12	40.935	30.8
Gene disease association	Q13	40.251	31.02
Gene disease association	Q14	42.488	43.84
Gene disease association	Q15	40.778	28.55
Gene disease association	Q16	39.978	67.3
Gene disease association	Q17	41.896	21.59
Gene disease association	Q18	47.858	21.89
Gene disease association	Q19	39.434	24.94
Gene disease association	Q20	42.368	130.01
Gene disease association	Q21	42.229	18.6
Gene disease association	Q22	46.135	84.69
Gene disease association	Q23	40.818	14.6
Gene disease association	Q24	40.094	13.25
Gene disease association	Q25	41.483	17.27
Gene disease association	Q26	41.915	31.47
Gene disease association	Q27	40.68	32.82
Gene disease association	Q28	42.154	45.1
Gene disease association	Q29	42.9	19.98
Gene disease association	Q30	39.204	28.97
Gene disease association	Q31	41.639	63.32
Gene disease association	Q32	44.222	46.58
Gene disease association	Q33	45.81	29.53
Gene disease association	Q34	39.877	13.73
Gene disease association	Q35	46.302	49.23
Gene disease association	Q36	42.387	35.3
Gene disease association	Q37	41.944	16.38
Gene disease association	Q38	42.659	35.18
Gene disease association	Q39	45.221	53.09
